business_id,name,stars,review_count,categories
cl5NjtALgaX7E-WL2DtiYQ,Liberty City Roasters,4.5,8,"Asian Fusion,Chinese,Thai"
gVh26yEPkXSoWbhs1p2kNA,Gotham Escape Room,4.5,23,"Nightlife,Bars,American (New)"
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,4.5,351,"Desserts,Sandwiches,Italian"
HPpKVvBT-2EeWNdy9cIjqA,Bus Depot Discount VW Parts,1.5,20,"Nightlife,Bars,American (New)"
eJ77e9lGxY3ArzaoDbHhYw,Paddy Whacks Irish Sports Pub - South Street,2.5,161,"Juice Bars & Smoothies,Mediterranean,Sandwiches"
2M4pYfuivdluXyBOP7IDQw,Look Hair Care Studio,5.0,5,Latin American
TGr9-KKNk_o7HzqvtlKomQ,Window World of Philadelphia,3.0,12,"Bars,Nightlife,Seafood"
9X1_a2DQwBtXza-U1CfA1g,Century Auto Body,4.0,13,"American (Traditional),Southern"
i_cFU5_dQexbjJA9rmf_WA,Marcie Blaine,3.5,8,"Vegetarian,Vegan,Burgers"
tUl_Lq8dM3T-NnM-u3szSg,Damaso Painting,5.0,7,"Korean,American (Traditional),Sandwiches"
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,4.0,604,"Nightlife,Sandwiches,Italian"
iEC0VzHM2hQ13wM7c0QwgQ,Metro Diner,3.5,56,Chinese
dK_qONtd5z73i6fQ1BTrTA,Draino,3.0,10,"Salad,American (Traditional),Nightlife"
xDEee0p41GueCDN0EAp-YA,Phone Repair Philly - Center City,4.5,106,"Pizza,Salad,Italian"
Xj0SIY3dprQ4ZZ0lz8YmGw,Sam's Plaza Shoe Repair,4.5,9,Vietnamese
oy-n3wkXeK6NPPKf3uRDTQ,Element Granite & Quartz,4.5,18,Vietnamese
0WIlsDUUFuUKcDfJPaHRkA,Temple University Hospital ,2.0,67,"Juice Bars & Smoothies,Coffee & Tea,Indian"
Cyy0zZz5ixYjSX4o4sacpg,Lip Collision,5.0,8,"Sandwiches,Nightlife,American (New)"
p79UR4tdHoJzmhwKmiXa2A,Sport Clips Haircuts of Springfield,2.0,5,"Bars,Nightlife,Seafood"
qTjsoi0FCv93wxzl0puQSQ,Yi Fa Hair Salon,4.5,6,"Sandwiches,Coffee & Tea"
jfz_-ngCCAbKUziluLAgiw,Jaramillo Hair salon,4.0,5,"Bars,Nightlife,Lounges"
Q9nC1l2V5wDyJpVb50OyLg,Bucks-Mont Environmental,3.0,6,"Nightlife,American (Traditional),Bars"
lJfxS6RMzAQ7oy8F2vU3Pg,"C R Bhatia, DVM - Animal Clinic of Warrington",4.5,9,American (New)
6MuGlWEZzKA2YtlY44Cksw,Pep Boys,2.5,17,Italian
MDP8K2NzEnCibFHa9XujWw,Recreational Integrative Wellness Center,4.0,18,"Desserts,Sandwiches,Italian"
QZLOM3T6xl7y1Q6zqoqHWg,Freddy's Frozen Custard & Steakburgers,3.5,26,"Nightlife,Bars,Burgers"
ufvaaDCkJj5pW4f7_DSN5w,Firestone Complete Auto Care,3.0,13,"Juice Bars & Smoothies,Mediterranean,Sandwiches"
yUEeh9nwaycI6fKLruD_rQ,Silvio Hair Styling For Men,2.5,6,Sandwiches
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,4.0,80,"Pizza,Seafood,Italian"
xa28v84RtUPWQKuw_UQBXQ,The Main Lion Cat Grooming Salon,4.0,31,Italian
CPgWuWGZ4v2sZr5_-1kluw,Checkers,2.0,21,American (New)
gu2-TPPdyQyHl2CnPb7Xjg,4th Street Nails,4.0,44,Mexican
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,4.0,31,"Nightlife,Bars,American (New)"
1tLrjXG-I9hkOoZxlbwDqw,Olde Black Horse,4.0,9,"Nightlife,American (Traditional),Bars"
00szsg8vQy6yX5f-m9sI4A,None Such Farm Market,4.0,36,Seafood
FLsMpCzvopg6vl3atsKVmQ,Functional Life,5.0,5,"Asian Fusion,Salad,Noodles"
0sr1EyOc6Td1C-962QW88w,La Cucina Italian Eatery,4.0,44,Mexican
xY0jpu0zzGEBr-bGBdPs-w,University Crossings,1.0,15,"Bagels,Sandwiches,Coffee & Tea"
yFqq66GxRjnhZXPgjA6hnw,KFC,2.0,7,"Vegan,Bagels,Coffee & Tea"
IbndcMURguByburM72o3SA,State Street Kitchen,4.5,124,"Korean,American (Traditional),Donuts"
S_-UJCj3Q-69_q92k59XYA,Majestic Towing,5.0,6,Pizza
3uvFklejzRPwEPEZQ5vHYQ,Wawa,3.5,14,"Pizza,Salad,Italian"
0l_njS4wGMadAk1b4nZRUA,Panera Bread,2.5,58,"Nightlife,Bars,Burgers"
qQcAJDLelexcAZOcdPnsEA,A Family Dental Care Center,3.5,10,"Vegetarian,Vegan,Burgers"
cm0bhBDPM3bjBefmEXa3BQ,Nudy's Cafe - Chadds Ford,3.5,63,Mexican
V8uKFuHyHKSOWojuhcP-2A,Rita's Italian Ice,4.0,8,"Nightlife,Bars,Burgers"
rh3C_JK4NAoUJ-HNStvHtw,"Historic Philadelphia, Inc",4.5,5,"Juice Bars & Smoothies,Coffee & Tea,Indian"
xHspDrdyq1g27yRDezB5yA,Kaiserman JCC,3.5,11,"Coffee & Tea,American (New),Italian"
SBgr-5n-kV3EeZztYsstUQ,Locust Lane Craft Brewery,4.5,29,"Vegetarian,Seafood,Indian"
wR8V8u3_wv-yjR-CIHyY0Q,The Collins Apartments,4.0,10,"Sushi Bars,Japanese,Ramen"
YKsZFlfTUNAzuDTTkArh0A,St Christopher Pediatric Urgent Care,3.0,7,"Desserts,Bakeries"
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,4.0,28,"Asian Fusion,Chinese,Thai"
VqK1bLVFmEpePL1Qhmz7ew,BJS Hardwood Floors,4.5,6,"Fast Food,Sandwiches,Italian"
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,1.5,20,"American (Traditional),Sandwiches,American (New)"
05f7LL_6d7DOw0hHR9tsqw,Mattress Factory,4.5,17,"Nightlife,Bars,American (New)"
rF0xI_3jjlsEKp3N0Z0BuQ,Trattoria Totaro,4.0,135,"Bars,Nightlife,Seafood"
gp-DPUypvHZYyuDE55PHyA,Tolsdorf Oil Lube Express,3.5,9,"Nightlife,Bars,Indian"
HxlFnUI9-RNKlKD2zUwzWQ,Skippack Sweet Spot,3.5,18,"Japanese,Chinese,Thai"
Dq7pbol4jb6RV4ozqGHLXw,Des-Carr Doors,2.5,5,Coffee & Tea
jsQQu9rVerR3OGxIa0hRQQ,Kelly's Taproom,3.0,63,"Pizza,Seafood,Italian"
5bCsL-Z3QnuBmJQtIt8qyw,Pacifico Hyundai,2.5,46,"Pizza,American (Traditional),Italian"
1o_M5JdOkJJFNj1rIDIlng,The Juice Pod,4.0,19,"Pizza,Salad,Italian"
n5rWjvJHmlEwr4rd13ZRqw,Diana Michaels Jewelers,4.5,10,Bakeries
FH8ZnbOiLpc5pcSsdqTfjg,Valley Of Fear & The Original Haunted Hayride,2.5,62,"Chicken Wings,Latin American"
VK5NEKDHnZG8YcAw2JpaWw,Spring Hollow Golf Club,3.0,29,"Chicken Wings,Donuts,Coffee & Tea"
BBylWmPeTN_zqapYJKSPmQ,Treehouse Yoga for Children,5.0,5,"Desserts,Bakeries"
uzpiSVy6DTQBNByAhT0Z2Q,Holiday Nail Salon,3.5,28,"American (Traditional),Nightlife,American (New)"
dBCNUSbz5-8nQNrxWo5deg,Blue Sage Vegetarian Grille,4.5,572,Food Trucks
ARb-hdkQ7Qla0FKCo4SPcA,Rosemont Plaza,4.0,10,"Desserts,Sandwiches,Coffee & Tea"
4mKAD2m2ek-z51ZPqL6-aw,Richard Kenneth Jewelers,3.0,16,"Nightlife,Bars"
HQolH8hSvmK8mhZc0bYVRw,Global Appliance Parts,5.0,5,"Vietnamese,Thai,Coffee & Tea"
q76T2h-U6oHcLhYQuz1Mcg,WMGK 102.9 FM,2.0,11,"Pizza,American (Traditional),Italian"
CT4QA-J58P-e8KRKeWPrAw,The Ladies Room,2.5,13,Mexican
v2UmYZ1rPT48IroaD0xZAQ,reYOU massage,4.0,63,Bakeries
53VjeehvqOIcE3fWNas7ow,Nailtek,3.0,10,Bakeries
z7sp6u5JnNlq2ziu31EFvw,CVS Optical,2.5,35,Chinese
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,4.0,301,"Nightlife,Bars,American (New)"
JJhF7D1_KLwsmpb9srKXig,HouseMaster Home Inspections,4.5,6,Italian
0pMj5xUAecW9o1P35B0AMw,Wawa,3.5,8,"Mexican,Barbeque,Tex-Mex"
F6hASqb_Z5ASXz0-pZFlfA,Edible Arrangements,3.5,10,"Sandwiches,Nightlife,Italian"
qawLaB79bFiXEtFc5SEBkQ,Crowne Plaza Philadelphia - King of Prussia,3.0,64,"Fast Food,Sandwiches,Italian"
LvFmVnPSbi0lmgpcK_qw-Q,Foot Locker,2.0,12,"American (Traditional),Sandwiches,Nightlife"
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,4.0,65,"Pizza,American (Traditional),Sandwiches"
MYoRNLb5chwjQe3c_k37Gg,Sean Thorntons Public House,3.5,6,"Nightlife,Bars,American (New)"
3_y-iyx2kXmhdgVOZHvm4g,McCaffrey's Supermarket,3.5,35,"Sushi Bars,Japanese"
lPuL8YgBHLhwaVp8ubMOFw,Dekalb Produce,4.5,16,Coffee & Tea
zyge4T5eSiPHq1-IaJb_Qg,Nancy Le Nails,2.0,10,"Juice Bars & Smoothies,Mediterranean,Sandwiches"
7Ct4QuWaY63DkAOXqEiVGA,Hong Kong Chinese Restaurant,3.0,18,"Sushi Bars,Japanese,Ramen"
wkW37gk-C6PVVn50ahL4tA,HomeGoods,3.0,17,Mexican
8vtIB1e8HbMPwbzP7edk7g,"A Jackson Ecker, Inc",4.0,18,"Mexican,Barbeque,Tex-Mex"
PkaxfjwdWKL02xkK2UGxNw,Aicha African Hair Braiding,4.0,20,"Sushi Bars,Japanese"
YmldZ34wq5v1Y4yLclNQ5g,Sport Clips Haircuts of Exton,4.0,11,"Pizza,Salad"
Uc97dMY2Ml9JG6uLjPQz2A,DeGrandis Automotive Center,5.0,5,"Pizza,American (Traditional),Italian"
wzAGD9Pe7V7CIP2Npu3RFg,Keeble's Service,5.0,7,Coffee & Tea
Ei0wJeADbNtwvA9CrvknJw,Cocco's Gelateria,4.5,37,Ice Cream & Frozen Yogurt
TF4IyHKK05m5rXENCK94nA,More Than Old,4.0,6,"Mexican,Barbeque,Tex-Mex"
NVpbPRDvfwjb85CJwWE0nQ,China Wok,4.0,55,"Sushi Bars,Chinese"
LVteL0Rnh2E_yOFCLJUPhg,Double Decker Pizza - Media,4.0,88,"Sushi Bars,Salad,Sandwiches"
73vXXe4MbpHhq_2_uiHIrQ,4J Laundromat,5.0,13,"Pizza,Sandwiches"
IuBhNQjsUb5wjGoji3ziXA,The Galman Group,1.5,15,"Sandwiches,Nightlife,Italian"
B6GLK-7h305joEgUjXlH-A,Family Beverage,3.0,6,"Food Trucks,Food Stands,Middle Eastern"
Htnv87XCc9GXuE6hKEHnNg,Caring Hands Veterinary Clinic,4.0,36,"Bakeries,Italian"
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,4.5,138,"Vegetarian,Vegan,Burgers"
Gvq5Artc4F4M2zmF7ZHeqA,Rapco Automotive Centers,5.0,10,"Chicken Wings,Thai,American (New)"
x7R0FReViemWjQO581WI5A,Debbie's Pet Sitting,5.0,12,"American (Traditional),Nightlife,American (New)"
RrqRin8BYGrTlJbCDwtLzA,Wawa,3.5,50,"Salad,American (Traditional),Nightlife"
IiPiLvUQEffLFGL9O7Z2vg,Chester County Dentistry for Children - Exton/Lionville,3.0,8,"Nightlife,Bars,American (New)"
BIJz39GnlrVUhrWPiWGECQ,ALDI,3.5,14,"Coffee & Tea,American (New),Italian"
wUEbysNWCtMSQAio6Ktn6Q,Lucianis Pizzeria & GRILL,3.0,22,"Nightlife,Bars,American (New)"
FjtPj2oChFsqSzNt8hnbTw,Sharples Works,4.0,6,Coffee & Tea
srXG3AiVC1HN1-W4Wza4Aw,Main Street Salon & Spa,3.5,10,Coffee & Tea
Nqt7oPtEvmoBZRag5ASQRA,Philadelphia Skating Club and Humane Society,3.5,6,Italian
_d5OAxaxRPsivgYbBq7U1A,Hyatt Place Philadelphia/King of Prussia,3.5,62,Italian
GpN4ZVRZaU2jaixGjqCCXQ,CJ's Tire & Automotive,2.0,14,"American (Traditional),Sandwiches,Nightlife"
IYMvwRM6WR4C0WC1A8em3A,Fred Beans Nissan of Doylestown,2.5,26,"Chicken Wings,Donuts,Coffee & Tea"
SvcWlFeXbSNkENnZfWYgEQ,willow + june hair,5.0,24,"Seafood,Mediterranean,Italian"
sDOxVq8gQBpHFYtoxwoLWw,Plume Salon,4.5,138,"Nightlife,Bars,Burgers"
PmASdGXX3XVokN2q92JIXg,L Priori Jewelry,5.0,29,"Nightlife,Bars,American (New)"
ZTtBlvY6JFm1mfmT6OyCtQ,Oreland Nail Salon,4.0,9,"Nightlife,Seafood,Bars"
1Y0KfitPQOSJ0ZCU950kdw,G Tech Computer,4.5,8,"Food Stands,Thai,Mexican"
EraDGJAHjf5IaA9VBGepfg,"East Falls Chiropractic: Zachary Dillow, D.C",4.5,16,"Pizza,Salad,Sandwiches"
v4coGp-DQISaBh4ejN28Fw,Artistic Expressions Dentistry,4.5,10,"Juice Bars & Smoothies,Mediterranean,Sandwiches"
-jQ_XYOikTuGQWdxResNfQ,Rapoza Anthony DMD,4.5,5,"Nightlife,Bars,Indian"
b8-kNsKeDYQIilQIOoGg3A,Brillman's Rental Barn,3.0,12,"Food Stands,Thai,Mexican"
zahFC_eqMeLAWHI9OeUn-A,Premier Urgent Care,4.0,5,"Nightlife,American (Traditional),Bars"
K5ffo0hkwhG33BDNQrJF6A,Slate Bleu Restaurant,4.0,105,Bakeries
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,3.0,54,"Desserts,Vegan,Burgers"
fN1xl3d8EdFRpyE1NVI2nw,Feet First Team Building,5.0,6,"Nightlife,Bars,Barbeque"
1KPowSPcz_QOzoKP-PV9rQ,Cabinets To Go,4.0,16,"Vegetarian,Diners,Sandwiches"
DBZUh30aX1MEKMGbeKCRZg,J.M. Grove Construction & Supply,1.5,12,"Vegetarian,Vegan,Burgers"
98fsEVTy5Ses0Pb03AhzFA,Giant Food Stores,3.0,9,"Pizza,Salad,Italian"
vnvRkdP-7W0DNTi4qnm6uw,Mylen Stairs,2.5,11,Chinese
lKlRRS26_eTA_eCjrWBT4w,Shibe Vintage Sports,4.5,23,"Asian Fusion,Nightlife,Latin American"
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,4.5,29,"Chinese,Szechuan"
T9n_LqUUhC2b1ALhg57Y5Q,Texas Roadhouse,4.0,240,"Asian Fusion,Chinese,Gluten-Free"
-BhSR6dAry5-2x3ndjX_9w,Meister's Barber Shop,4.0,79,"American (Traditional),Southern"
5p_ElTUbq73aQAqReVPT7w,Havertown Cleaners,2.0,5,"Nightlife,Bars,American (New)"
cIKRTajdQv_MviWXdE_m4g,BehatiLife,3.5,7,Chinese
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,4.5,116,"American (Traditional),Nightlife,Steakhouses"
6Bos3UU5heFlqySLcYvwnw,Budget Car Rental,2.0,12,"Sushi Bars,Japanese"
hGy3actugEISbvEGQeMz3A,Dunkin',2.0,23,"Vegetarian,Asian Fusion,Thai"
7utsfp2dXJ09j8Gb9hAIvA,Suzy-Jo Donuts,4.5,89,"Nightlife,American (Traditional),Bars"
joeRm-_7T0XTkMdKo2nbaA,Paola's Pizzeria,4.5,126,"Desserts,Bakeries"
sMqC5I43z_qB8z54gltlvg,Brendan's Repair,4.5,9,Thai
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,4.0,485,"Caribbean,Seafood"
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,4.5,159,"Chinese,Szechuan"
mwNRwT6Hh-8W_BjpIgaxVQ,Hamilton Animal Hospital,3.0,9,Ice Cream & Frozen Yogurt
0346ZLBXCnsGief7r2kmQQ,Salon Tenshi,4.0,17,"Nightlife,Bars,Barbeque"
sCUIr5-PCkg2KmS0ymftkQ,Liberty Tree Service,4.0,5,"American (Traditional),Southern"
isbeaPln-E0DdffLRsuFhw,Francisco's On The River,4.0,109,"Nightlife,Seafood,Chinese"
PvT44WlqJLkUrCITo6AjRA,Breakfast Boutique Chestnut Hill,3.0,151,"Nightlife,American (Traditional),Bars"
i6kNeNRrER8ocnpkBJ3wBA,Drexel Hill Pizza & Grill,3.0,54,"Sushi Bars,Japanese,Steakhouses"
ziFtaIQdzQfFL79iLTq_zQ,Zac's Hamburgers,4.0,48,"Nightlife,Bars,American (New)"
w1A_N-pg-netgS_znGJlhg,Barn Attic,2.5,20,French
QkyEr9j7il9lJqseTbPe5w,Spasso Italian Grill,3.5,192,"Vegetarian,Vegan,Burgers"
FppJo5aymUsfOg68uTOipw,The Inn at The Union League,3.5,19,"Vegetarian,Vegan,Burgers"
RMm5FeJpYGZlGJIVsqz0Yw,Intelligent Movers,3.0,11,"Japanese,Asian Fusion,Chinese"
XQi3Py8vE45364C1NDkj0A,One Mechanical New Innovations,4.0,6,Mexican
tFh0DrDMTom4B3pHpDpRNQ,Platoon Fitness,5.0,10,Diners
DByTT96OHSmTN72kyY72WQ,Chesheim Dental Associates,5.0,8,"Bars,Nightlife,Lounges"
b6mtezJs5KNZNvgHU-sR8Q,Tony's Bar,4.5,7,"Tapas/Small Plates,Nightlife,American (Traditional)"
rm63PmqG5zRZ09FtSsk4UA,Just Because...Flowers,5.0,6,"Pizza,Italian"
i5xAm14TcOKpHKS7d3tLNg,The Dog House,4.0,10,Bakeries
nBr6NgqcZz1GhtAngU0RSQ,Forin Cafe,4.5,10,"Burgers,American (New)"
afmMy0m-mH9uNUxaZZAKpQ,Chestnut Nail,3.0,40,Chinese
y44MbCvvtmg1FpkNGSWisw,Tony's Luke,2.5,172,Chinese
IazLGcO9aggJnMMa_5UO1Q,Kimberton Whole Foods - Collegeville,5.0,6,"Nightlife,American (Traditional),Bars"
FeEYBozUzyVGisE3HPGbBg,Liz Clark Real Estate,5.0,33,"Bagels,Sandwiches,Coffee & Tea"
0HgAYe8KZ_8nHyELHFwrpA,Wendy's,2.0,13,"Desserts,Bakeries"
uxoQdZD3mEptaPohiLQg1w,Stone House Grille,4.5,56,"Chinese,Szechuan"
LSdg7x7HhUdvYUevvYVHjQ,Sunoco,2.5,8,"Sushi Bars,Japanese"
hlqnFy34n8tnVNMq-pO34g,Best IT Guru,4.0,10,"Soup,Salad,Thai"
E9-k8aOCS2sSh9RYxvWU_A,Steppy's Sports Bar & Grill,3.0,69,Steakhouses
n30JyruJKfbIeSReuYQloQ,21 M Salon,4.5,19,"Sushi Bars,Salad,Sandwiches"
yzRC9gyhblU3a5hDct2S2Q,Hykel's Submarine Sandwich-Bar,4.0,34,Mediterranean
KidSvYABnawyuS_3lIYQzQ,Mercy’s Bakery,4.0,5,"Asian Fusion,Chinese,Thai"
FRJtMz68HULioGOzI5S19g,Banfield Pet Hospital,3.0,9,"Nightlife,Bars,Burgers"
NMCF935i0lb2QjszMaucIg,A & H Paving,3.5,6,"Pizza,Sandwiches"
dERS4qwl9v-Gwft-Ug8APA,West Ave Grille Jenkintown Restaurant and Food Truck ,4.0,277,"Sushi Bars,Japanese"
